year,period,rank,company,value_musd,ref_url,table_note,wiki_revision
2022,Q2,2,Microsoft,1920000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q3,2,Microsoft,1737000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q4,2,Microsoft,1787000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q1,3,Alphabet,1846000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q2,3,Alphabet,1435000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q3,3,Alphabet,1254000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q4,3,Alphabet,1145000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q1,4,Amazon,1659000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q2,4,Amazon,1080000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q3,4,Amazon,1151000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q4,4,Amazon,856940.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q1,5,Tesla,1114000.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q2,5,Tesla,697660.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q3,5,Tesla,831150.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q4,5,Berkshire Hathaway,681770.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q1,6,Berkshire Hathaway,779150.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q2,6,Berkshire Hathaway,602450.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q3,6,Berkshire Hathaway,596410.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q4,6,UnitedHealth,495370.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q1,7,Nvidia,684880.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q2,7,UnitedHealth,481870.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q3,7,UnitedHealth,472410.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q4,7,Johnson & Johnson,461840.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q1,8,Meta,605250.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
2022,Q2,8,Johnson & Johnson,467090.0,,This list is as of 31 December 2022. Indicated changes in market value are relative to the previous quarter.,1371146339
