scenario,leg,periods,first_period,last_period,twr_annualized,volatility,sharpe,downside_deviation,sortino,max_drawdown,max_dd_peak,max_dd_trough,max_dd_recovery,underwater_days,family
taxed_high_trailing_stop_25_1975,combined,612,1975-01-31,2025-12-31,0.1210574159715067,0.1443096366935096,0.5786232212214931,0.0956618757790724,0.8741335446380738,-0.542139715043626,2007-10-09,2009-03-09,2012-08-16,1773,tax_drag
taxed_high_buy_the_dip_25_50_1975,stock,612,1975-01-31,2025-12-31,0.106227366728697,0.1809296247802344,0.4195110292481154,0.1138403835782285,0.6666660283354341,-0.5778434561084187,1999-07-16,2002-10-09,2008-05-14,3225,tax_drag
taxed_high_buy_the_dip_25_50_1975,index,612,1975-01-31,2025-12-31,0.1245571008788348,0.1506246382117236,0.5817902271171339,0.1003563461322549,0.8741711611185915,-0.55250241066821,2007-10-09,2009-03-09,2012-04-02,1637,tax_drag
taxed_high_buy_the_dip_25_50_1975,combined,612,1975-01-31,2025-12-31,0.1155499003236981,0.1546068042717743,0.5180409320260434,0.0995452237217289,0.8048298770652639,-0.5229917947885904,1999-07-16,2002-10-09,2007-05-16,2861,tax_drag
top10_ew_baseline_hold,stock,237,2006-04-30,2025-12-31,0.1134548346857402,0.1424350183971196,0.7189081738662448,0.0927484713954895,1.1034145538655002,-0.5136372005331624,2007-10-09,2009-03-09,2012-08-03,1760,top10_ew
top10_ew_baseline_hold,index,237,2006-04-30,2025-12-31,0.109147561845746,0.1518141469688163,0.6578241554755643,0.1022378928044859,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637,top10_ew
top10_ew_baseline_hold,combined,237,2006-04-30,2025-12-31,0.1116462395084327,0.1444611415995565,0.6994365345932941,0.095824517034378,1.054195777059124,-0.5332659687736223,2007-10-09,2009-03-09,2012-08-07,1764,top10_ew
top10_ew_trailing_stop_25,stock,237,2006-04-30,2025-12-31,0.1021127401250598,0.1359202839870787,0.6702121197781512,0.0901078431204095,1.0110686040888408,-0.4787133179328594,2007-10-09,2009-03-09,2012-03-13,1617,top10_ew
top10_ew_trailing_stop_25,index,237,2006-04-30,2025-12-31,0.109147561845746,0.1518141469688163,0.6578241554755643,0.1022378928044859,0.9768963959479914,-0.5525024106682104,2007-10-09,2009-03-09,2012-04-02,1637,top10_ew
top10_ew_trailing_stop_25,combined,237,2006-04-30,2025-12-31,0.1057733347830549,0.1426197755317557,0.6689158855373004,0.095395995073776,1.000142659316985,-0.5161725328955777,2007-10-09,2009-03-09,2012-03-15,1619,top10_ew
top10_ew_buy_the_dip_25_50,stock,237,2006-04-30,2025-12-31,0.1138575334359204,0.1590198128051592,0.6626184219178475,0.1063810167769397,0.9900034175934456,-0.6179106540782306,2007-10-09,2009-03-05,2013-05-17,2047,top10_ew
